phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,1,70-120,0.01,0.5,5,0.06706321177957712,0.20823978021256984,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-140,0.01,0.5,5,0.0451453258769485,0.20823978085738704,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-100,0.01,0.5,0,0.16935254518965626,0.20823978527254325,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-120,0.01,0.5,4,0.044146203819912445,0.2082397824242697,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-140,0.01,0.5,3,0.04704174280021788,0.20823978126280648,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-100,0.05,0.5,1,0.08091840551752226,0.2082397802507847,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-120,0.05,0.5,5,0.06855747800561192,0.2082397772233334,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-140,0.05,0.5,9,0.06686353292246991,0.2082397749886873,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-100,0.05,0.5,0,0.2414274177642481,0.20823978794813916,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-120,0.05,0.5,7,0.06679813946284266,0.20823977689709577,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-140,0.05,0.5,1,0.05939012598533742,0.20823978203272142,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-100,0.1,0.5,8,0.16448073402225596,0.20823978578074143,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-120,0.1,0.5,0,0.09409864140187064,0.2082397774609923,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-140,0.1,0.5,7,0.06547115706452387,0.20823978222493406,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-100,0.1,0.5,0,0.2970947538326931,0.20823979086800445,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,80-120,0.1,0.5,3,0.09596506971194475,0.20823977675610741,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
